Hechos Intradía,,,,,,
,,,,,,
"Razón Social: TV AZTECA, S.A.B. DE C.V.",,,,,,
Ticker: AZTECA,,,,,,
Serie: CPO,,,,,,
Fecha Inicial: 6/30/2014,,,,,,
Fecha Final: 7/5/2014,,,,,,
,,,,,,
Hechos,,,,,,
,,,,,,
FECHA,HORA,COMPRADOR,VENDEDOR,VOLUMEN,PRECIO,IMPORTE
6/30/2014,2:56:00 PM,MERRILL LYNCH,MORGAN STANLEY MEXICO CAS,400,7.32,2928
6/30/2014,2:57:00 PM,MERRILL LYNCH,MORGAN STANLEY MEXICO CAS,400,7.32,2928
6/30/2014,2:57:00 PM,CI CASA DE BOLSA,MORGAN STANLEY MEXICO CAS,500,7.3,3650
6/30/2014,2:57:00 PM,CI CASA DE BOLSA,MORGAN STANLEY MEXICO CAS,300,7.3,2190
6/30/2014,2:57:00 PM,CI CASA DE BOLSA,MORGAN STANLEY MEXICO CAS,700,7.3,5110
6/30/2014,2:57:00 PM,CI CASA DE BOLSA,MORGAN STANLEY MEXICO CAS,200,7.3,1460
6/30/2014,2:57:00 PM,CI CASA DE BOLSA,MORGAN STANLEY MEXICO CAS,100,7.3,730
6/30/2014,2:57:00 PM,GRUPO BURSATIL MEXICANO,MORGAN STANLEY MEXICO CAS,127,7.33,930.91
6/30/2014,2:57:00 PM,MERRILL LYNCH,MORGAN STANLEY MEXICO CAS,400,7.32,2928
6/30/2014,2:57:00 PM,CI CASA DE BOLSA,MORGAN STANLEY MEXICO CAS,600,7.3,4380
6/30/2014,2:57:00 PM,CI CASA DE BOLSA,MORGAN STANLEY MEXICO CAS,200,7.3,1460
6/30/2014,2:57:00 PM,MERRILL LYNCH,MORGAN STANLEY MEXICO CAS,400,7.32,2928
6/30/2014,2:57:00 PM,CI CASA DE BOLSA,MORGAN STANLEY MEXICO CAS,400,7.3,2920
6/30/2014,2:57:00 PM,CI CASA DE BOLSA,MORGAN STANLEY MEXICO CAS,600,7.3,4380
6/30/2014,2:57:00 PM,MERRILL LYNCH,MORGAN STANLEY MEXICO CAS,200,7.32,1464
6/30/2014,2:57:00 PM,MERRILL LYNCH,MORGAN STANLEY MEXICO CAS,200,7.32,1464
6/30/2014,2:57:00 PM,CI CASA DE BOLSA,MORGAN STANLEY MEXICO CAS,400,7.3,2920
6/30/2014,2:58:00 PM,CI CASA DE BOLSA,MORGAN STANLEY MEXICO CAS,600,7.3,4380
6/30/2014,2:58:00 PM,MERRILL LYNCH,MORGAN STANLEY MEXICO CAS,400,7.33,2932
6/30/2014,2:58:00 PM,CI CASA DE BOLSA,MORGAN STANLEY MEXICO CAS,100,7.3,730
6/30/2014,2:58:00 PM,CI CASA DE BOLSA,MORGAN STANLEY MEXICO CAS,400,7.3,2920
6/30/2014,2:58:00 PM,CI CASA DE BOLSA,MORGAN STANLEY MEXICO CAS,600,7.3,4380
6/30/2014,2:58:00 PM,MERRILL LYNCH,MORGAN STANLEY MEXICO CAS,400,7.33,2932
6/30/2014,2:58:00 PM,CI CASA DE BOLSA,MORGAN STANLEY MEXICO CAS,200,7.3,1460
6/30/2014,2:58:00 PM,CI CASA DE BOLSA,MORGAN STANLEY MEXICO CAS,400,7.3,2920
6/30/2014,2:58:00 PM,CI CASA DE BOLSA,MORGAN STANLEY MEXICO CAS,500,7.3,3650
6/30/2014,2:58:00 PM,MERRILL LYNCH,MORGAN STANLEY MEXICO CAS,400,7.33,2932
6/30/2014,2:58:00 PM,CI CASA DE BOLSA,MORGAN STANLEY MEXICO CAS,200,7.3,1460
6/30/2014,2:58:00 PM,INTERACCIONES CASA DE BOL,MORGAN STANLEY MEXICO CAS,400,7.31,2924
6/30/2014,2:58:00 PM,INTERACCIONES CASA DE BOL,MORGAN STANLEY MEXICO CAS,600,7.31,4386
6/30/2014,2:58:00 PM,MERRILL LYNCH,MORGAN STANLEY MEXICO CAS,500,7.33,3665
6/30/2014,2:58:00 PM,INTERACCIONES CASA DE BOL,MORGAN STANLEY MEXICO CAS,1600,7.31,11696
6/30/2014,2:58:00 PM,INTERACCIONES CASA DE BOL,MORGAN STANLEY MEXICO CAS,200,7.31,1462
6/30/2014,2:58:00 PM,INTERACCIONES CASA DE BOL,MORGAN STANLEY MEXICO CAS,400,7.31,2924
6/30/2014,2:59:00 PM,MERRILL LYNCH,MORGAN STANLEY MEXICO CAS,400,7.33,2932
6/30/2014,2:59:00 PM,INTERACCIONES CASA DE BOL,MORGAN STANLEY MEXICO CAS,400,7.31,2924
6/30/2014,2:59:00 PM,CI CASA DE BOLSA,MORGAN STANLEY MEXICO CAS,200,7.3,1460
6/30/2014,2:59:00 PM,CI CASA DE BOLSA,MORGAN STANLEY MEXICO CAS,200,7.3,1460
6/30/2014,2:59:00 PM,MERRILL LYNCH,MORGAN STANLEY MEXICO CAS,100,7.33,733
6/30/2014,2:59:00 PM,MERRILL LYNCH,MORGAN STANLEY MEXICO CAS,100,7.33,733
6/30/2014,2:59:00 PM,CI CASA DE BOLSA,MORGAN STANLEY MEXICO CAS,400,7.3,2920
6/30/2014,2:59:00 PM,MERRILL LYNCH,MORGAN STANLEY MEXICO CAS,100,7.33,733
6/30/2014,2:59:00 PM,CI CASA DE BOLSA,MORGAN STANLEY MEXICO CAS,200,7.3,1460
6/30/2014,2:59:00 PM,CI CASA DE BOLSA,MORGAN STANLEY MEXICO CAS,400,7.3,2920
6/30/2014,2:59:00 PM,CI CASA DE BOLSA,MORGAN STANLEY MEXICO CAS,100,7.3,730
6/30/2014,2:59:00 PM,CI CASA DE BOLSA,MORGAN STANLEY MEXICO CAS,400,7.3,2920
6/30/2014,2:59:00 PM,CI CASA DE BOLSA,MORGAN STANLEY MEXICO CAS,900,7.3,6570
6/30/2014,2:59:00 PM,CI CASA DE BOLSA,MORGAN STANLEY MEXICO CAS,500,7.3,3650
6/30/2014,2:59:00 PM,CI CASA DE BOLSA,MORGAN STANLEY MEXICO CAS,1600,7.3,11680
1/7/2014,9:00:00 AM,UBS CASA DE BOLSA S.A.,VALORES FINAMEX,1533,7.3,11190.9
1/7/2014,9:01:00 AM,VALORES FINAMEX,DEUTSCHE SECURITIES,15800,7.29,115182
1/7/2014,9:03:00 AM,VALORES FINAMEX,VALORES FINAMEX,467,7.3,3409.1
1/7/2014,9:03:00 AM,INTERACCIONES CASA DE BOL,CITIBANK,3100,7.31,22661
1/7/2014,9:03:00 AM,VALORES FINAMEX,CITIBANK,1139,7.3,8314.7
1/7/2014,9:10:00 AM,UBS CASA DE BOLSA S.A.,CITIBANK,1513,7.32,11075.16
1/7/2014,9:10:00 AM,UBS CASA DE BOLSA S.A.,CITIBANK,1533,7.32,11221.56
1/7/2014,9:10:00 AM,VALORES FINAMEX,CITIBANK,1193,7.3,8708.9
1/7/2014,9:15:00 AM,UBS CASA DE BOLSA S.A.,SCOTIA CASA DE BOLSA,111,7.32,812.52
1/7/2014,9:20:00 AM,UBS CASA DE BOLSA S.A.,INTERACCIONES CASA DE BOL,1533,7.34,11252.22
1/7/2014,9:20:00 AM,UBS CASA DE BOLSA S.A.,CITIBANK,1422,7.32,10409.04
1/7/2014,9:20:00 AM,MORGAN STANLEY MEXICO CAS,CITIBANK,100,7.32,732
1/7/2014,9:20:00 AM,DEUTSCHE SECURITIES,CITIBANK,2717,7.31,19861.27
1/7/2014,9:24:00 AM,UBS CASA DE BOLSA S.A.,GRUPO BURSATIL MEXICANO,200,7.32,1464
1/7/2014,9:25:00 AM,UBS CASA DE BOLSA S.A.,UBS CASA DE BOLSA S.A.,655,7.34,4807.7
1/7/2014,9:25:00 AM,UBS CASA DE BOLSA S.A.,GRUPO BURSATIL MEXICANO,400,7.34,2936
1/7/2014,9:25:00 AM,UBS CASA DE BOLSA S.A.,INTERACCIONES CASA DE BOL,478,7.34,3508.52
1/7/2014,9:36:00 AM,MORGAN STANLEY MEXICO CAS,UBS CASA DE BOLSA S.A.,100,7.34,734
1/7/2014,9:38:00 AM,ACTINVER CASA DE BOLSA,UBS CASA DE BOLSA S.A.,428,7.34,3141.52
1/7/2014,9:38:00 AM,ACTINVER CASA DE BOLSA,CITIBANK,272,7.34,1996.48
1/7/2014,9:51:00 AM,MORGAN STANLEY MEXICO CAS,VECTOR CASA DE BOLSA,100,7.35,735
1/7/2014,9:59:00 AM,MORGAN STANLEY MEXICO CAS,VECTOR CASA DE BOLSA,100,7.35,735
1/7/2014,10:01:00 AM,MONEX CASA DE BOLSA,ACTINVER CASA DE BOLSA,500,7.32,3660
1/7/2014,10:08:00 AM,MONEX CASA DE BOLSA,ACTINVER CASA DE BOLSA,300,7.32,2196
1/7/2014,10:35:00 AM,---,---,8222,7.34,60349.48
1/7/2014,11:08:00 AM,CITIBANK,INTERACCIONES CASA DE BOL,22100,7.33,161993
1/7/2014,11:08:00 AM,CITIBANK,INTERACCIONES CASA DE BOL,5500,7.33,40315
1/7/2014,11:09:00 AM,MORGAN STANLEY MEXICO CAS,INTERACCIONES CASA DE BOL,100,7.33,733
1/7/2014,11:11:00 AM,MORGAN STANLEY MEXICO CAS,INTERACCIONES CASA DE BOL,100,7.33,733
1/7/2014,11:15:00 AM,MORGAN STANLEY MEXICO CAS,INTERACCIONES CASA DE BOL,100,7.33,733
1/7/2014,11:20:00 AM,MONEX CASA DE BOLSA,IXE CASA DE BOLSA,200,7.32,1464
1/7/2014,11:22:00 AM,CI CASA DE BOLSA,INTERACCIONES CASA DE BOL,5000,7.33,36650
1/7/2014,11:22:00 AM,CI CASA DE BOLSA,INTERACCIONES CASA DE BOL,6000,7.33,43980
1/7/2014,11:23:00 AM,CI CASA DE BOLSA,INTERACCIONES CASA DE BOL,1100,7.33,8063
1/7/2014,11:23:00 AM,CI CASA DE BOLSA,GRUPO BURSATIL MEXICANO,100,7.33,733
1/7/2014,11:23:00 AM,CI CASA DE BOLSA,INTERACCIONES CASA DE BOL,10000,7.34,73400
1/7/2014,11:30:00 AM,ACTINVER CASA DE BOLSA,INTERACCIONES CASA DE BOL,1000,7.34,7340
1/7/2014,11:35:00 AM,CI CASA DE BOLSA,INTERACCIONES CASA DE BOL,2800,7.33,20524
1/7/2014,11:35:00 AM,CITIBANK,INTERACCIONES CASA DE BOL,700,7.33,5131
1/7/2014,11:35:00 AM,MORGAN STANLEY MEXICO CAS,INTERACCIONES CASA DE BOL,100,7.33,733
1/7/2014,11:35:00 AM,MORGAN STANLEY MEXICO CAS,INTERACCIONES CASA DE BOL,100,7.33,733
1/7/2014,11:35:00 AM,VALORES FINAMEX,INTERACCIONES CASA DE BOL,3600,7.33,26388
1/7/2014,11:35:00 AM,CITIBANK,INTERACCIONES CASA DE BOL,900,7.33,6597
1/7/2014,11:35:00 AM,VALORES FINAMEX,INTERACCIONES CASA DE BOL,11799,7.33,86486.67
1/7/2014,11:35:00 AM,VALORES FINAMEX,INTERACCIONES CASA DE BOL,3200,7.33,23456
1/7/2014,11:35:00 AM,MORGAN STANLEY MEXICO CAS,INTERACCIONES CASA DE BOL,100,7.33,733
1/7/2014,11:41:00 AM,MONEX CASA DE BOLSA,INTERACCIONES CASA DE BOL,5999,7.32,43912.68
1/7/2014,11:41:00 AM,CITIBANK,INTERACCIONES CASA DE BOL,2700,7.32,19764
1/7/2014,11:41:00 AM,ACTINVER CASA DE BOLSA,INTERACCIONES CASA DE BOL,3000,7.32,21960
1/7/2014,11:41:00 AM,VALORES FINAMEX,INTERACCIONES CASA DE BOL,900,7.32,6588
1/7/2014,11:41:00 AM,MORGAN STANLEY MEXICO CAS,INTERACCIONES CASA DE BOL,100,7.32,732
1/7/2014,11:41:00 AM,MORGAN STANLEY MEXICO CAS,INTERACCIONES CASA DE BOL,100,7.32,732
1/7/2014,11:59:00 AM,CITIBANK,CITIBANK,652,7.31,4766.12
1/7/2014,12:00:00 PM,UBS CASA DE BOLSA S.A.,INTERACCIONES CASA DE BOL,2000,7.32,14640
1/7/2014,12:00:00 PM,UBS CASA DE BOLSA S.A.,INTERACCIONES CASA DE BOL,2000,7.32,14640
1/7/2014,12:00:00 PM,UBS CASA DE BOLSA S.A.,INTERACCIONES CASA DE BOL,2000,7.32,14640
1/7/2014,12:01:00 PM,MORGAN STANLEY MEXICO CAS,INTERACCIONES CASA DE BOL,100,7.32,732
1/7/2014,12:05:00 PM,MORGAN STANLEY MEXICO CAS,INTERACCIONES CASA DE BOL,100,7.32,732
1/7/2014,12:28:00 PM,---,---,68743,7.32,503198.76
1/7/2014,12:28:00 PM,VALORES FINAMEX,CITIBANK,17668,7.3,128976.4
1/7/2014,12:28:00 PM,VALORES FINAMEX,CITIBANK,3536,7.3,25812.8
1/7/2014,12:34:00 PM,UBS CASA DE BOLSA S.A.,INTERACCIONES CASA DE BOL,3000,7.32,21960
1/7/2014,12:35:00 PM,UBS CASA DE BOLSA S.A.,INTERACCIONES CASA DE BOL,3000,7.32,21960
1/7/2014,12:35:00 PM,UBS CASA DE BOLSA S.A.,INTERACCIONES CASA DE BOL,1000,7.32,7320
1/7/2014,12:35:00 PM,UBS CASA DE BOLSA S.A.,INTERACCIONES CASA DE BOL,2000,7.32,14640
1/7/2014,12:36:00 PM,UBS CASA DE BOLSA S.A.,INTERACCIONES CASA DE BOL,2001,7.32,14647.32
1/7/2014,12:36:00 PM,UBS CASA DE BOLSA S.A.,GRUPO BURSATIL MEXICANO,1100,7.32,8052
1/7/2014,12:36:00 PM,UBS CASA DE BOLSA S.A.,INTERACCIONES CASA DE BOL,7486,7.33,54872.38
1/7/2014,12:41:00 PM,MORGAN STANLEY MEXICO CAS,INTERACCIONES CASA DE BOL,100,7.33,733
1/7/2014,12:44:00 PM,ACTINVER CASA DE BOLSA,INTERACCIONES CASA DE BOL,12413,7.33,90987.29
1/7/2014,12:44:00 PM,ACTINVER CASA DE BOLSA,ACTINVER CASA DE BOLSA,2000,7.33,14660
1/7/2014,12:44:00 PM,ACTINVER CASA DE BOLSA,GRUPO BURSATIL MEXICANO,587,7.33,4302.71
1/7/2014,12:45:00 PM,MORGAN STANLEY MEXICO CAS,INTERACCIONES CASA DE BOL,100,7.33,733
1/7/2014,12:46:00 PM,CITIBANK,INTERACCIONES CASA DE BOL,22300,7.32,163236
1/7/2014,12:46:00 PM,MORGAN STANLEY MEXICO CAS,INTERACCIONES CASA DE BOL,100,7.32,732
1/7/2014,12:46:00 PM,MORGAN STANLEY MEXICO CAS,INTERACCIONES CASA DE BOL,100,7.32,732
1/7/2014,12:49:00 PM,UBS CASA DE BOLSA S.A.,CITIBANK,1638,7.31,11973.78
1/7/2014,12:49:00 PM,CITIBANK,CITIBANK,900,7.31,6579
1/7/2014,12:49:00 PM,VALORES FINAMEX,CITIBANK,468,7.3,3416.4
1/7/2014,12:56:00 PM,UBS CASA DE BOLSA S.A.,INTERACCIONES CASA DE BOL,10587,7.32,77496.84
1/7/2014,1:00:00 PM,MORGAN STANLEY MEXICO CAS,INTERACCIONES CASA DE BOL,100,7.32,732
1/7/2014,1:10:00 PM,MORGAN STANLEY MEXICO CAS,INTERACCIONES CASA DE BOL,100,7.32,732
1/7/2014,1:16:00 PM,UBS CASA DE BOLSA S.A.,INTERACCIONES CASA DE BOL,6658,7.32,48736.56
1/7/2014,1:16:00 PM,UBS CASA DE BOLSA S.A.,INTERACCIONES CASA DE BOL,3929,7.34,28838.86
1/7/2014,1:18:00 PM,CITIBANK,UBS CASA DE BOLSA S.A.,1310,7.34,9615.4
1/7/2014,1:18:00 PM,CITIBANK,INTERACCIONES CASA DE BOL,7090,7.34,52040.6
1/7/2014,1:18:00 PM,CITIBANK,INTERACCIONES CASA DE BOL,300,7.34,2202
1/7/2014,1:18:00 PM,CITIBANK,INTERACCIONES CASA DE BOL,2000,7.34,14680
1/7/2014,1:21:00 PM,MORGAN STANLEY MEXICO CAS,INTERACCIONES CASA DE BOL,100,7.34,734
1/7/2014,1:31:00 PM,MORGAN STANLEY MEXICO CAS,INTERACCIONES CASA DE BOL,100,7.34,734
1/7/2014,1:36:00 PM,UBS CASA DE BOLSA S.A.,INTERACCIONES CASA DE BOL,10587,7.34,77708.58
1/7/2014,1:41:00 PM,MORGAN STANLEY MEXICO CAS,INTERACCIONES CASA DE BOL,100,7.34,734
1/7/2014,1:51:00 PM,MORGAN STANLEY MEXICO CAS,INTERACCIONES CASA DE BOL,100,7.34,734
1/7/2014,1:56:00 PM,UBS CASA DE BOLSA S.A.,INTERACCIONES CASA DE BOL,10587,7.34,77708.58
1/7/2014,2:00:00 PM,MORGAN STANLEY MEXICO CAS,INTERACCIONES CASA DE BOL,100,7.34,734
1/7/2014,2:13:00 PM,MORGAN STANLEY MEXICO CAS,IXE CASA DE BOLSA,100,7.33,733
1/7/2014,2:16:00 PM,UBS CASA DE BOLSA S.A.,IXE CASA DE BOLSA,200,7.33,1466
1/7/2014,2:16:00 PM,UBS CASA DE BOLSA S.A.,INTERACCIONES CASA DE BOL,8925,7.34,65509.5
1/7/2014,2:16:00 PM,UBS CASA DE BOLSA S.A.,ACTINVER CASA DE BOLSA,1394,7.34,10231.96
1/7/2014,2:19:00 PM,MORGAN STANLEY MEXICO CAS,ACTINVER CASA DE BOLSA,100,7.34,734
1/7/2014,2:30:00 PM,MORGAN STANLEY MEXICO CAS,ACTINVER CASA DE BOLSA,100,7.33,733
1/7/2014,2:34:00 PM,CITIBANK,ACTINVER CASA DE BOLSA,2637,7.33,19329.21
1/7/2014,2:34:00 PM,GRUPO BURSATIL MEXICANO,ACTINVER CASA DE BOLSA,120,7.33,879.6
1/7/2014,2:34:00 PM,GRUPO BURSATIL MEXICANO,INTERACCIONES CASA DE BOL,100,7.32,732
1/7/2014,2:34:00 PM,CITIBANK,INTERACCIONES CASA DE BOL,100,7.32,732
1/7/2014,2:36:00 PM,UBS CASA DE BOLSA S.A.,ACTINVER CASA DE BOLSA,1743,7.33,12776.19
1/7/2014,2:36:00 PM,UBS CASA DE BOLSA S.A.,ACTINVER CASA DE BOLSA,506,7.34,3714.04
1/7/2014,2:36:00 PM,UBS CASA DE BOLSA S.A.,SCOTIA CASA DE BOLSA,209,7.34,1534.06
1/7/2014,2:36:00 PM,UBS CASA DE BOLSA S.A.,INTERACCIONES CASA DE BOL,8100,7.34,59454
1/7/2014,2:37:00 PM,CITIBANK,UBS CASA DE BOLSA S.A.,299,7.34,2194.66
1/7/2014,2:37:00 PM,CITIBANK,INTERACCIONES CASA DE BOL,5701,7.34,41845.34
1/7/2014,2:37:00 PM,CITIBANK,INTERACCIONES CASA DE BOL,1535,7.34,11266.9
1/7/2014,2:41:00 PM,MORGAN STANLEY MEXICO CAS,CITIBANK,100,7.33,733
1/7/2014,2:42:00 PM,MORGAN STANLEY MEXICO CAS,CITIBANK,200,7.33,1466
1/7/2014,2:42:00 PM,MORGAN STANLEY MEXICO CAS,CITIBANK,500,7.33,3665
1/7/2014,2:42:00 PM,MORGAN STANLEY MEXICO CAS,CITIBANK,500,7.33,3665
1/7/2014,2:43:00 PM,MORGAN STANLEY MEXICO CAS,CITIBANK,500,7.33,3665
1/7/2014,2:43:00 PM,MORGAN STANLEY MEXICO CAS,CITIBANK,500,7.33,3665
1/7/2014,2:43:00 PM,MORGAN STANLEY MEXICO CAS,CITIBANK,600,7.33,4398
1/7/2014,2:43:00 PM,MORGAN STANLEY MEXICO CAS,CITIBANK,500,7.33,3665
1/7/2014,2:43:00 PM,MORGAN STANLEY MEXICO CAS,CITIBANK,100,7.33,733
1/7/2014,2:44:00 PM,MORGAN STANLEY MEXICO CAS,CITIBANK,500,7.33,3665
1/7/2014,2:44:00 PM,MORGAN STANLEY MEXICO CAS,CITIBANK,500,7.33,3665
1/7/2014,2:44:00 PM,MORGAN STANLEY MEXICO CAS,CITIBANK,600,7.33,4398
1/7/2014,2:44:00 PM,MORGAN STANLEY MEXICO CAS,CITIBANK,500,7.33,3665
1/7/2014,2:45:00 PM,MORGAN STANLEY MEXICO CAS,CITIBANK,500,7.33,3665
1/7/2014,2:45:00 PM,GRUPO BURSATIL MEXICANO,CITIBANK,120,7.33,879.6
1/7/2014,2:45:00 PM,MORGAN STANLEY MEXICO CAS,CITIBANK,500,7.33,3665
1/7/2014,2:45:00 PM,MORGAN STANLEY MEXICO CAS,CITIBANK,100,7.33,733
1/7/2014,2:45:00 PM,MORGAN STANLEY MEXICO CAS,CITIBANK,600,7.33,4398
1/7/2014,2:45:00 PM,MORGAN STANLEY MEXICO CAS,CITIBANK,500,7.33,3665
1/7/2014,2:46:00 PM,MORGAN STANLEY MEXICO CAS,CITIBANK,500,7.33,3665
1/7/2014,2:46:00 PM,MORGAN STANLEY MEXICO CAS,CITIBANK,500,7.33,3665
1/7/2014,2:46:00 PM,MORGAN STANLEY MEXICO CAS,CITIBANK,500,7.33,3665
1/7/2014,2:46:00 PM,MORGAN STANLEY MEXICO CAS,CITIBANK,600,7.33,4398
1/7/2014,2:47:00 PM,MORGAN STANLEY MEXICO CAS,CITIBANK,500,7.33,3665
1/7/2014,2:47:00 PM,MORGAN STANLEY MEXICO CAS,CITIBANK,500,7.33,3665
1/7/2014,2:47:00 PM,MORGAN STANLEY MEXICO CAS,CITIBANK,500,7.33,3665
1/7/2014,2:47:00 PM,MORGAN STANLEY MEXICO CAS,CITIBANK,600,7.33,4398
1/7/2014,2:48:00 PM,MORGAN STANLEY MEXICO CAS,CITIBANK,500,7.33,3665
1/7/2014,2:48:00 PM,GRUPO BURSATIL MEXICANO,CITIBANK,152,7.33,1114.16
1/7/2014,2:48:00 PM,MORGAN STANLEY MEXICO CAS,CITIBANK,500,7.33,3665
1/7/2014,2:48:00 PM,MORGAN STANLEY MEXICO CAS,INTERACCIONES CASA DE BOL,500,7.34,3670
1/7/2014,2:48:00 PM,MORGAN STANLEY MEXICO CAS,INTERACCIONES CASA DE BOL,100,7.34,734
1/7/2014,2:48:00 PM,MORGAN STANLEY MEXICO CAS,INTERACCIONES CASA DE BOL,600,7.34,4404
1/7/2014,2:49:00 PM,MORGAN STANLEY MEXICO CAS,INTERACCIONES CASA DE BOL,500,7.34,3670
1/7/2014,2:49:00 PM,MORGAN STANLEY MEXICO CAS,INTERACCIONES CASA DE BOL,500,7.34,3670
1/7/2014,2:49:00 PM,MORGAN STANLEY MEXICO CAS,INTERACCIONES CASA DE BOL,200,7.34,1468
1/7/2014,2:49:00 PM,MORGAN STANLEY MEXICO CAS,INTERACCIONES CASA DE BOL,500,7.34,3670
1/7/2014,2:49:00 PM,MORGAN STANLEY MEXICO CAS,INTERACCIONES CASA DE BOL,500,7.34,3670
1/7/2014,2:50:00 PM,MORGAN STANLEY MEXICO CAS,INTERACCIONES CASA DE BOL,600,7.34,4404
1/7/2014,2:50:00 PM,MORGAN STANLEY MEXICO CAS,INTERACCIONES CASA DE BOL,500,7.34,3670
1/7/2014,2:50:00 PM,MORGAN STANLEY MEXICO CAS,INTERACCIONES CASA DE BOL,600,7.34,4404
1/7/2014,2:50:00 PM,MORGAN STANLEY MEXICO CAS,INTERACCIONES CASA DE BOL,600,7.34,4404
1/7/2014,2:51:00 PM,MORGAN STANLEY MEXICO CAS,INTERACCIONES CASA DE BOL,500,7.34,3670
1/7/2014,2:51:00 PM,GRUPO BURSATIL MEXICANO,INTERACCIONES CASA DE BOL,124,7.34,910.16
1/7/2014,2:51:00 PM,MORGAN STANLEY MEXICO CAS,INTERACCIONES CASA DE BOL,600,7.34,4404
1/7/2014,2:51:00 PM,MORGAN STANLEY MEXICO CAS,INTERACCIONES CASA DE BOL,600,7.34,4404
1/7/2014,2:51:00 PM,MORGAN STANLEY MEXICO CAS,INTERACCIONES CASA DE BOL,500,7.34,3670
1/7/2014,2:52:00 PM,MORGAN STANLEY MEXICO CAS,INTERACCIONES CASA DE BOL,600,7.34,4404
1/7/2014,2:52:00 PM,MORGAN STANLEY MEXICO CAS,INTERACCIONES CASA DE BOL,600,7.34,4404
1/7/2014,2:52:00 PM,MORGAN STANLEY MEXICO CAS,INTERACCIONES CASA DE BOL,600,7.34,4404
1/7/2014,2:52:00 PM,MORGAN STANLEY MEXICO CAS,INTERACCIONES CASA DE BOL,500,7.34,3670
1/7/2014,2:53:00 PM,MORGAN STANLEY MEXICO CAS,INTERACCIONES CASA DE BOL,600,7.34,4404
1/7/2014,2:53:00 PM,MORGAN STANLEY MEXICO CAS,INTERACCIONES CASA DE BOL,600,7.34,4404
1/7/2014,2:53:00 PM,MORGAN STANLEY MEXICO CAS,INTERACCIONES CASA DE BOL,600,7.34,4404
1/7/2014,2:53:00 PM,MORGAN STANLEY MEXICO CAS,INTERACCIONES CASA DE BOL,500,7.34,3670
1/7/2014,2:54:00 PM,MORGAN STANLEY MEXICO CAS,INTERACCIONES CASA DE BOL,600,7.34,4404
1/7/2014,2:54:00 PM,MORGAN STANLEY MEXICO CAS,INTERACCIONES CASA DE BOL,800,7.34,5872
1/7/2014,2:54:00 PM,MORGAN STANLEY MEXICO CAS,INTERACCIONES CASA DE BOL,800,7.34,5872
1/7/2014,2:54:00 PM,MORGAN STANLEY MEXICO CAS,INTERACCIONES CASA DE BOL,800,7.34,5872
1/7/2014,2:55:00 PM,MORGAN STANLEY MEXICO CAS,INTERACCIONES CASA DE BOL,800,7.34,5872
1/7/2014,2:55:00 PM,MORGAN STANLEY MEXICO CAS,INTERACCIONES CASA DE BOL,800,7.34,5872
1/7/2014,2:55:00 PM,MORGAN STANLEY MEXICO CAS,INTERACCIONES CASA DE BOL,800,7.34,5872
1/7/2014,2:55:00 PM,GRUPO BURSATIL MEXICANO,INTERACCIONES CASA DE BOL,123,7.34,902.82
1/7/2014,2:55:00 PM,MORGAN STANLEY MEXICO CAS,INTERACCIONES CASA DE BOL,700,7.34,5138
1/7/2014,2:56:00 PM,MORGAN STANLEY MEXICO CAS,INTERACCIONES CASA DE BOL,800,7.34,5872
1/7/2014,2:56:00 PM,UBS CASA DE BOLSA S.A.,INTERACCIONES CASA DE BOL,10593,7.34,77752.62
1/7/2014,2:56:00 PM,MORGAN STANLEY MEXICO CAS,INTERACCIONES CASA DE BOL,800,7.34,5872
1/7/2014,2:56:00 PM,MORGAN STANLEY MEXICO CAS,INTERACCIONES CASA DE BOL,800,7.34,5872
1/7/2014,2:56:00 PM,MORGAN STANLEY MEXICO CAS,INTERACCIONES CASA DE BOL,800,7.34,5872
1/7/2014,2:57:00 PM,MORGAN STANLEY MEXICO CAS,INTERACCIONES CASA DE BOL,124,7.34,910.16
1/7/2014,2:57:00 PM,MORGAN STANLEY MEXICO CAS,ACTINVER CASA DE BOLSA,676,7.34,4961.84
1/7/2014,2:57:00 PM,MORGAN STANLEY MEXICO CAS,ACTINVER CASA DE BOLSA,900,7.34,6606
1/7/2014,2:57:00 PM,MORGAN STANLEY MEXICO CAS,ACTINVER CASA DE BOLSA,800,7.34,5872
1/7/2014,2:57:00 PM,GRUPO BURSATIL MEXICANO,ACTINVER CASA DE BOLSA,166,7.34,1218.44
1/7/2014,2:57:00 PM,MORGAN STANLEY MEXICO CAS,ACTINVER CASA DE BOLSA,800,7.34,5872
1/7/2014,2:58:00 PM,UBS CASA DE BOLSA S.A.,ACTINVER CASA DE BOLSA,658,7.34,4829.72
1/7/2014,2:58:00 PM,UBS CASA DE BOLSA S.A.,INTERACCIONES CASA DE BOL,325,7.34,2385.5
1/7/2014,2:58:00 PM,MORGAN STANLEY MEXICO CAS,INTERACCIONES CASA DE BOL,800,7.34,5872
1/7/2014,2:58:00 PM,MORGAN STANLEY MEXICO CAS,INTERACCIONES CASA DE BOL,800,7.34,5872
1/7/2014,2:58:00 PM,MORGAN STANLEY MEXICO CAS,INTERACCIONES CASA DE BOL,800,7.34,5872
1/7/2014,2:58:00 PM,MORGAN STANLEY MEXICO CAS,INTERACCIONES CASA DE BOL,800,7.34,5872
