Hechos Intradía,,,,,,
,,,,,,
"Razón Social: TV AZTECA, S.A.B. DE C.V.",,,,,,
Ticker: AZTECA,,,,,,
Serie: CPO,,,,,,
Fecha Inicial: 6/30/2014,,,,,,
Fecha Final: 7/5/2014,,,,,,
,,,,,,
Hechos,,,,,,
,,,,,,
FECHA,HORA,COMPRADOR,VENDEDOR,VOLUMEN,PRECIO,IMPORTE
6/30/2014,2:16:00 PM,MERRILL LYNCH,MORGAN STANLEY MEXICO CAS,100,7.32,732
6/30/2014,2:16:00 PM,MERRILL LYNCH,DEUTSCHE SECURITIES,1500,7.33,10995
6/30/2014,2:16:00 PM,MERRILL LYNCH,MORGAN STANLEY MEXICO CAS,100,7.32,732
6/30/2014,2:16:00 PM,MERRILL LYNCH,MORGAN STANLEY MEXICO CAS,100,7.32,732
6/30/2014,2:17:00 PM,MERRILL LYNCH,DEUTSCHE SECURITIES,600,7.33,4398
6/30/2014,2:17:00 PM,MERRILL LYNCH,MORGAN STANLEY MEXICO CAS,100,7.32,732
6/30/2014,2:17:00 PM,MERRILL LYNCH,MORGAN STANLEY MEXICO CAS,100,7.32,732
6/30/2014,2:17:00 PM,MERRILL LYNCH,DEUTSCHE SECURITIES,600,7.33,4398
6/30/2014,2:18:00 PM,MERRILL LYNCH,DEUTSCHE SECURITIES,500,7.33,3665
6/30/2014,2:18:00 PM,MERRILL LYNCH,MORGAN STANLEY MEXICO CAS,100,7.32,732
6/30/2014,2:18:00 PM,MERRILL LYNCH,MORGAN STANLEY MEXICO CAS,100,7.32,732
6/30/2014,2:18:00 PM,GRUPO BURSATIL MEXICANO,MORGAN STANLEY MEXICO CAS,100,7.32,732
6/30/2014,2:18:00 PM,MERRILL LYNCH,DEUTSCHE SECURITIES,400,7.33,2932
6/30/2014,2:19:00 PM,MERRILL LYNCH,MORGAN STANLEY MEXICO CAS,100,7.32,732
6/30/2014,2:19:00 PM,MERRILL LYNCH,MORGAN STANLEY MEXICO CAS,100,7.32,732
6/30/2014,2:19:00 PM,MERRILL LYNCH,DEUTSCHE SECURITIES,400,7.33,2932
6/30/2014,2:19:00 PM,MERRILL LYNCH,MORGAN STANLEY MEXICO CAS,100,7.32,732
6/30/2014,2:19:00 PM,MERRILL LYNCH,MORGAN STANLEY MEXICO CAS,100,7.32,732
6/30/2014,2:19:00 PM,MERRILL LYNCH,DEUTSCHE SECURITIES,400,7.33,2932
6/30/2014,2:20:00 PM,MERRILL LYNCH,MORGAN STANLEY MEXICO CAS,100,7.32,732
6/30/2014,2:20:00 PM,MERRILL LYNCH,MORGAN STANLEY MEXICO CAS,100,7.32,732
6/30/2014,2:20:00 PM,MORGAN STANLEY MEXICO CAS,DEUTSCHE SECURITIES,100,7.33,733
6/30/2014,2:20:00 PM,MERRILL LYNCH,DEUTSCHE SECURITIES,700,7.33,5131
6/30/2014,2:20:00 PM,MERRILL LYNCH,MORGAN STANLEY MEXICO CAS,100,7.32,732
6/30/2014,2:20:00 PM,MERRILL LYNCH,MORGAN STANLEY MEXICO CAS,100,7.32,732
6/30/2014,2:20:00 PM,MERRILL LYNCH,DEUTSCHE SECURITIES,800,7.33,5864
6/30/2014,2:21:00 PM,MERRILL LYNCH,DEUTSCHE SECURITIES,400,7.33,2932
6/30/2014,2:21:00 PM,MERRILL LYNCH,MORGAN STANLEY MEXICO CAS,100,7.3,730
6/30/2014,2:21:00 PM,MERRILL LYNCH,INTERACCIONES CASA DE BOL,400,7.32,2928
6/30/2014,2:21:00 PM,MERRILL LYNCH,INTERACCIONES CASA DE BOL,500,7.32,3660
6/30/2014,2:21:00 PM,MERRILL LYNCH,MORGAN STANLEY MEXICO CAS,100,7.3,730
6/30/2014,2:22:00 PM,MERRILL LYNCH,MORGAN STANLEY MEXICO CAS,100,7.29,729
6/30/2014,2:22:00 PM,MERRILL LYNCH,MORGAN STANLEY MEXICO CAS,400,7.31,2924
6/30/2014,2:22:00 PM,MERRILL LYNCH,MORGAN STANLEY MEXICO CAS,100,7.3,730
6/30/2014,2:23:00 PM,MERRILL LYNCH,UBS CASA DE BOLSA S.A.,400,7.32,2928
6/30/2014,2:23:00 PM,MERRILL LYNCH,MORGAN STANLEY MEXICO CAS,100,7.3,730
6/30/2014,2:23:00 PM,MERRILL LYNCH,UBS CASA DE BOLSA S.A.,500,7.32,3660
6/30/2014,2:23:00 PM,MERRILL LYNCH,MORGAN STANLEY MEXICO CAS,100,7.3,730
6/30/2014,2:24:00 PM,MERRILL LYNCH,UBS CASA DE BOLSA S.A.,400,7.31,2924
6/30/2014,2:24:00 PM,MERRILL LYNCH,UBS CASA DE BOLSA S.A.,259,7.31,1893.29
6/30/2014,2:24:00 PM,MERRILL LYNCH,MORGAN STANLEY MEXICO CAS,141,7.31,1030.71
6/30/2014,2:24:00 PM,MERRILL LYNCH,MORGAN STANLEY MEXICO CAS,100,7.3,730
6/30/2014,2:24:00 PM,MERRILL LYNCH,MORGAN STANLEY MEXICO CAS,400,7.31,2924
6/30/2014,2:24:00 PM,MERRILL LYNCH,MORGAN STANLEY MEXICO CAS,100,7.29,729
6/30/2014,2:25:00 PM,MERRILL LYNCH,MORGAN STANLEY MEXICO CAS,400,7.3,2920
6/30/2014,2:25:00 PM,MERRILL LYNCH,MORGAN STANLEY MEXICO CAS,400,7.3,2920
6/30/2014,2:25:00 PM,MERRILL LYNCH,MORGAN STANLEY MEXICO CAS,400,7.3,2920
6/30/2014,2:26:00 PM,MERRILL LYNCH,MORGAN STANLEY MEXICO CAS,200,7.3,1460
6/30/2014,2:26:00 PM,MERRILL LYNCH,MORGAN STANLEY MEXICO CAS,500,7.3,3650
6/30/2014,2:26:00 PM,MERRILL LYNCH,MORGAN STANLEY MEXICO CAS,400,7.31,2924
6/30/2014,2:26:00 PM,MORGAN STANLEY MEXICO CAS,MORGAN STANLEY MEXICO CAS,100,7.31,731
6/30/2014,2:26:00 PM,MERRILL LYNCH,MORGAN STANLEY MEXICO CAS,559,7.31,4086.29
6/30/2014,2:26:00 PM,MERRILL LYNCH,MORGAN STANLEY MEXICO CAS,159,7.31,1162.29
6/30/2014,2:26:00 PM,MERRILL LYNCH,MORGAN STANLEY MEXICO CAS,200,7.31,1462
6/30/2014,2:27:00 PM,MERRILL LYNCH,MORGAN STANLEY MEXICO CAS,100,7.31,731
6/30/2014,2:27:00 PM,MERRILL LYNCH,MORGAN STANLEY MEXICO CAS,300,7.31,2193
6/30/2014,2:27:00 PM,MERRILL LYNCH,MORGAN STANLEY MEXICO CAS,200,7.31,1462
6/30/2014,2:27:00 PM,MERRILL LYNCH,MORGAN STANLEY MEXICO CAS,100,7.31,731
6/30/2014,2:27:00 PM,MERRILL LYNCH,MORGAN STANLEY MEXICO CAS,100,7.32,732
6/30/2014,2:27:00 PM,MERRILL LYNCH,MORGAN STANLEY MEXICO CAS,100,7.32,732
6/30/2014,2:27:00 PM,MERRILL LYNCH,MORGAN STANLEY MEXICO CAS,100,7.32,732
6/30/2014,2:27:00 PM,MERRILL LYNCH,MORGAN STANLEY MEXICO CAS,100,7.32,732
6/30/2014,2:28:00 PM,MERRILL LYNCH,VECTOR CASA DE BOLSA,800,7.33,5864
6/30/2014,2:28:00 PM,MERRILL LYNCH,VECTOR CASA DE BOLSA,500,7.33,3665
6/30/2014,2:29:00 PM,MERRILL LYNCH,VECTOR CASA DE BOLSA,600,7.33,4398
6/30/2014,2:29:00 PM,MERRILL LYNCH,VECTOR CASA DE BOLSA,400,7.33,2932
6/30/2014,2:30:00 PM,MERRILL LYNCH,VECTOR CASA DE BOLSA,700,7.33,5131
6/30/2014,2:30:00 PM,MERRILL LYNCH,VECTOR CASA DE BOLSA,400,7.33,2932
6/30/2014,2:30:00 PM,MERRILL LYNCH,VECTOR CASA DE BOLSA,600,7.33,4398
